Reference period,Projection scenario LG: low-growth 3,Projection scenario M1: medium-growth 4,Projection scenario M2: medium-growth 5,Projection scenario M3: medium-growth 6,Projection scenario M4: medium-growth 7,Projection scenario M5: medium-growth 8,Projection scenario M6: medium-growth 9,Projection scenario HG: high-growth 10,Projection scenario SA: slow-aging 11,Projection scenario FA: fast-aging 12
2024,39512.2,39953.1,39953.6,39953.6,39953.7,39953.2,39953.1,40318.5,40233.1,39597.2
2025,39861.1,40464.7,40465.6,40465.5,40465.7,40464.9,40464.7,40992.8,40876,39977.3
2026,40163.9,40964.6,40965.9,40965.7,40966,40964.8,40964.4,41653.6,41505.6,40310.7
2027,40431,41452.7,41454.4,41454.2,41454.6,41452.9,41452.3,42299.2,42118.4,40609.7
2028,40676.1,41928.3,41930.6,41930.3,41930.8,41928.5,41927.7,42929.5,42714.7,40887.7
2029,40902.4,42391.3,42394,42393.7,42394.4,42391.4,42390.4,43545.4,43295.8,41147.5
2030,41111.9,42840.8,42844,42843.6,42844.5,42840.8,42839.5,44150,43864.5,41391.2
2031,41306.3,43276.3,43280,43279.5,43280.6,43276.1,43274.5,44748.1,44425.7,41620.5
2032,41487.2,43697.3,43701.6,43701,43702.4,43696.9,43695,45346,44985.8,41836.8
2033,41655.1,44108.7,44113.5,44112.8,44114.4,44108,44105.6,45951.2,45552,42041
2034,41811.7,44509.9,44515.2,44514.4,44516.2,44508.8,44506.1,46563.7,46124.9,42233.9
2035,41958.1,44901.1,44906.8,44906,44908,44899.5,44896.3,47184.2,46705.2,42416.8
2036,42095.8,45282.3,45288.7,45287.7,45290,45280.2,45276.6,47813.7,47293.7,42591.3
2037,42226.3,45654.2,45661.2,45660.1,45662.5,45651.5,45647.4,48452.9,47891.5,42758.6
2038,42350.4,46017.8,46025.3,46024.1,46026.8,46014.3,46009.8,49102.2,48499,42919.3
2039,42469.2,46374,46382.2,46380.9,46383.7,46369.7,46364.7,49762.2,49116.9,43074.6
2040,42584,46724.2,46733,46731.6,46734.6,46719,46713.5,50433.7,49745.9,43225.5
2041,42696.4,47070,47079.5,47078,47081.1,47063.8,47057.8,51116.9,50387.3,43372.7
2042,42807.1,47413.6,47423.8,47422.2,47425.3,47406.2,47399.6,51812.3,51041.7,43517
2043,42916.7,47757,47767.9,47766.2,47769.4,47748.4,47741.3,52521,51709.3,43659.5
2044,43025.7,48097.4,48109.1,48107.2,48110.5,48087.6,48079.8,53235.8,52383.8,43800.2
2045,43129.8,48435,48447.5,48445.5,48448.8,48423.8,48415.4,53956.6,53064.7,43934.8
2046,43229.5,48770.2,48783.4,48781.3,48784.7,48757.5,48748.5,54683.6,53752.7,44063.7
2047,43325.2,49103.1,49117.1,49114.9,49118.3,49088.8,49079.2,55417.4,54448.6,44186.9
2048,43416.6,49433.9,49448.7,49446.3,49449.7,49417.9,49407.6,56158.5,55152.3,44304.6
2049,43503.7,49763,49778.5,49776,49779.5,49745.2,49734.2,56907.6,55864.5,44416.9
2050,43587,50090.8,50107.1,50104.4,50108,50071.1,50059.5,57665.6,56586.1,44524.3
2051,43667.1,50418.1,50435.2,50432.4,50435.9,50396.4,50384.1,58433.3,57318.3,44626.9
2052,43744.6,50745.5,50763.4,50760.4,50764,50721.7,50708.7,59211.9,58062.6,44725
2053,43819.8,51073.7,51092.5,51089.3,51093,51047.7,51034,60003.1,58819.9,44819.9
2054,43892.7,51403.7,51423.3,51420,51423.7,51375.4,51360.9,60807.9,59591,44911.7
2055,43964.2,51736.3,51756.7,51753.2,51756.9,51705.4,51690.2,61627.3,60377.2,45000.7
2056,44034.5,52072.2,52093.5,52089.8,52093.6,52038.7,52022.8,62463.4,61179.3,45088.7
2057,44104.3,52412.3,52434.5,52430.7,52434.5,52376.1,52359.4,63317.3,61998.3,45176.2
2058,44173.8,52757.2,52780.4,52776.4,52780.3,52718.2,52700.7,64189.5,62834.8,45263.5
2059,44243.4,53107.5,53131.7,53127.5,53131.4,53065.5,53047.1,65080.6,63689.3,45350.8
2060,44314.2,53463.4,53488.6,53484.3,53488.3,53418.3,53399.1,65991.8,64563.3,45439.3
2061,44386.5,53825.5,53851.7,53847.2,53851.3,53777.1,53756.9,66923.6,65457,45529.2
2062,44459.7,54193.7,54221.1,54216.4,54220.6,54142,54120.9,67876,66370,45620.4
2063,44533.9,54568.2,54596.7,54591.8,54596.1,54513,54490.8,68848.8,67302.2,45712.9
2064,44609.1,54948.6,54978.2,54973.2,54977.6,54889.8,54866.5,69842.1,68254,45806.5
2065,44684.9,55334.8,55365.6,55360.4,55364.9,55272.2,55247.7,70855.7,69224.7,45900.9
2066,44760.7,55726.4,55758.4,55753.1,55757.6,55659.8,55634.1,71889.7,70214,45996.3
2067,44837.3,56122.9,56156,56150.6,56155.2,56052.1,56025.2,72943.9,71222.7,46092.2
2068,44914.3,56523.6,56558,56552.4,56557.1,56448.5,56420.3,74018,72250.5,46188.3
